"THE UMA GROUP, INC.",CONV / LIQUOR STORE 
"UNIVERSITY ACQUISITIONS, LLC","TO ACQUIRE, OWN, DEVELOP, BUILD, OPERATE, LEASE, MORTGAGE, SELL AND/OR OTHER"
UNIVERSITY APPS LLC,DEVELOPMENT OF MOBILE AND WEB-BASED APPLICATIONS FOR COLLEGES AND UNIVER
UNIVERSITY AVENUE LLC,OWNERSHIP AND OPERATION OF REAL PROPERTY.
UNIVERSITY AVENUE NORWOOD LLC,REAL ESTATE
UNIVERSITY BANK,STATE BANKING CORPORATION
"UNIVERSITY CAP AND GOWN CO, INC.",DISTRIBUTION OF GRADUATION AND ACADEMIC REGALIA
"UNIVERSITY CAPITAL INVESTMENTS, LLC",DEBT COLLECTION
"UNIVERSITY CONSTRUCTORS, LLC",CONSTRUCTION
"UNIVERSITY CONVENIENCE, INC.",CONVENIENCE STORE
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH,ATMOSPHERIC RESEARCH
"PLANTATION ASSOCIATES, INC.",DENTAL PRACTICE
"UNIVERSITY DISABILITY CONSORTIUM, P.C.",REVIEW DISABILITY CLAIMS
"UNIVERSITY DRIVE-AMHERST CVS, INC.",RETAIL PHARMACY
UNIVERSITY EQUITIES LLC,REAL ESTATE AND INVESTMENTS
UNIVERSITY EQUITIES TWO LLC,"TO OWN, DEVELOP, MANAGE AND OPERATE REAL ESTATE, TO MAKE OTHER INVESTMENT"
UNIVERSITY EXPRESS LLC,ORGANIZATION OF GROUP BUS TRANSPORTATION FOR COLLEGE STUDENTS
"UNIVERSITY EYE CARE, LLC",WE ARE AN OPTOMETRIC MEDICAL OFFICE PROVIDING EYE CARE INCLUDING ROUTINE E
"UNIVERSITY FITNESS, LLC",MANAGED FITNESS AND WELLNESS SERVICES
"UNIVERSITY HEALTH PLANS, INC.",INSURANCE BROKER
UNIVERSITY HOUSE LOAN MANAGER CORP.,MANAGER OF AN LLC
"UNIVERSITY HOUSE OF PIZZA, INC.",PIZZERIA/FOOD AND SOFT DRINK SERVICE
"UNIVERSITY HOUSING DEVELOPER, LLC","GENERALLY, THE BUSINESS OF THE COMPANY IS TO INVEST IN, HOLD, MANAGE, SELL, LE"
"UNIVERSITY HOUSING MANAGING MEMBER,","GENERALLY, THE BUSINESS OF THE COMPANY IS TO INVEST IN, HOLD, MANAGE, SELL, LE"
"UNIVERSITY HOUSING MASTER TENANT, LLC","GENERALLY, THE BUSINESS OF THE COMPANY IS TO INVEST IN, HOLD, MANAGE, SELL, LE"
"UNIVERSITY HOUSING, LLC","GENERALLY, THE BUSINESS OF THE COMPANY IS TO INVEST IN, HOLD, MANAGE, SELL, LE"
UNIVERSITY INDUSTRY RESEARCH CORPORATION,FACILITATE INDUSTRY AND GVNMT SPONSORSHIP OF UNIV
"UNIVERSITY INSTRUCTORS, INC.",EDUCATION CONSULTING SERVICES
"UNIVERSITY INSURANCE BROKERS, INC.",INSURANCE BROKER
"UNIVERSITY LANDING, INC.",TO OWN REAL ESTATE.
"UNIVERSITY LAUNDRY SERVICES, INC.",GARMENT CARE PROVIDER
"UNIVERSITY LEASING, LLC","THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ACQUIRE BY PURCHASE, L"
"UNIVERSITY LENDING GROUP, LLC",RESIDENTIAL MORTGAGE ORIGINATIONS
"UNIVERSITY LIVING PROPERTIES, LLC","TO ENGAGE IN THE BUSINESS OF ACQUIRING, DEVELOPING, RENTING, LEASING, AND SELL"
"UNIVERSITY MANAGER, INC.",REAL ESTATE.
"UNIVERSITY MEAL DEAL, INC.",COLLEGE MEAL CARDS
"UNIVERSITY MEDICINE FOUNDATION, INC.",PRACTICE OF MEDICINE/HOSP. AFFILIATED W/ LIFESPAN
UNIVERSITY MOTORS LLC,NEW CAR DEALERSHIP-VOLKSWAGEN FRANCHISE
"UNIVERSITY NEUROPSYCHOLOGY, INC.",PSYCHOLOGIST PRIVATE PRACTICE
"UNIVERSITY OF CHICAGO, THE",EDUCATIONAL AND RESEARCH NOT FOR PROFIT INSTITUTIO
"UNIVERSITY OF FLORIDA FOUNDATION, INC.",SUPPORT THE UNIVERSITY OF FLORIDA'S MISSION
"UNIVERSITY OF NEVADA, LAS VEGAS FOUNDATION",RECEIPT/MGMT OF GIFT REVENUE ON BEHALF OF UNLV.
"UNIVERSITY OF NEW HAMPSHIRE FOUNDATION,",OBTAIN RESOURCES FOR UNH TO ENHANCE ITS EDUCATION
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"THE SCHOOL OF GOVERNMENT FOUNDATION, INC."
UNIVERSITY OF SOUTHERN CALIFORNIA,"ESTABLISH, CONDUCT AND MAINTAIN AND EDUCATIONAL IN"
"UNIVERSITY OF THE ROCKIES, LLC",EDUCATION
"UNIVERSITY OPERATIONS, LLC","TO ACQUIRE, OWN, DEVELOP, BUILD, OPERATE, LEASE, MORTGAGE, SELL AND/OR OTHER"
"TRANSFORMATIONS, INC.",DEVELOP/BUILD ZERO ENERGY HOMES.INSTALL SOLAR SYS
UNIVERSITY PARK PHASE II LIMITED PARTNERSHIP,REAL ESTATE DEVELOPMENT
UNIVERSITY PARTNERSHIP GROUP INC.,HOLDING
"UNIVERSITY PATHOLOGISTS DIAGNOSTICS,",TO ENGAGE IN DIAGNOSTIC LABORATORY SERVICES
UNIVERSITY PATHOLOGISTS LLC,PROFESSIONAL AND TECHNICAL PATHOLOGY AND LABORATORY SERVICES
UNIVERSITY PLACE RESIDENCES LLC,THE PURPOSE OF THE LLC IS TO ENGAGE IN THE BUSINESS OF REAL ESTATE AND CARRY O
"UNIVERSITY PRODUCTS, INC.",UNIVERSITY PRODUCTS
UNIVERSITY PROPERTIES LLC,THE GENERAL CHARACTER OF THE BUSINESS OF THE COMPANY IS TO PURCHASE AND MA
"UNIVERSITY RADIOLOGY GROUP, PC",PROVIDER OF RADIOLOGY SERVICES
"UNIVERSITY RUBBER CO, INC.",DISTRIBUTOR OF INDUSTRIAL SAFETY PRODUCTS
"UNIVERSITY SKIN ONCOLOGISTS, INC.",MEDICAL SERVICES
UNIVERSITY STATION DEVELOPER 2 LLC,"THE LLC HAS BEEN FORMED, AND ITS SOLE PURPOSES ARE TO ACQUIRE, OWN, HOLD AND"
UNIVERSITY STATION PHASE 2 LLC,OWNER OF REAL ESTATE AND OTHER RELATED ACTIVITIES
UNIVERSITY STATION SENIOR HOUSING,THE GENERAL CHARACTER OF THE BUSINESS THAT THE COMPANY PROPOSES TO DO IN M
UNIVERSITY STATION SENIOR HOUSING LLC,THE GENERAL CHARACTER OF THE BUSINESS THAT THE COMPANY PROPOSES TO DO IN M
"UNIVERSITY SUB, LLC","TO HOLD OWNERSHIP OF CERTAIN REAL PROPERTY LOCATED IN NORWOOD, MASSACHUS"
UNIVERSITY SUPPORT SERVICES LLC,PROFESSIONAL SERVICES
"UNIVERSITY TRUST, INC.",AMERICAN CABINET CORPORATION
UNIVERSITY VENTURES INTERNATIONAL LLC,TO PROVIDE CONSULTING AND ADVISORY SERVICES AND TO ENGAGE IN ALL ACTIVITIES
"UNIVERSITY WAFER, INC.",SALE OF WAFERS FOR NANOTECHNOLOGY RESEARCH
"UNIVERSITY WINE SHOP, INC.",RETAIL ALL ALCOHOLIC GOODS
"SOUL CIRCUS, INC.",OPERATING A CIRCUS
"UNIVISTAAR SOLUTIONS, LLC",COMPUTER SOFTWARE DEVELOPMENT
UNIVITA HEALTH INC.,HEALTH CARE MANAGEMENT & ADMINISTRATION
UNIVITA HEALTHCARE SOLUTIONS LLC,HEALTH CARE SERVICES
"UNIVOIP, INC.",TELECOMMUNICATION RESELLERS
"UNIVOPS INSURANCE SERVICES, LLC",SELL INSURANCE
"UNIWASHERS, INC.",SALE OF AUTOMOTIVE INDUSTRIAL EQUIPMENT
"UNIWELD, INC.",STEEL FABRICATION
"UNIWORLD BUSINESS PUBLICATIONS, INC.","UNIWORLD BUSINESS PUBLICATIONS, INC."
UNKAMET REALTY LLC,REAL ESTATE INVESTMENT
UNKETY BROOK LABRADOODLES LLC,TO BREED AND SELL AUSTRALIAN LABRADOODLE DOGS AND PRODUCTS AND TO ENGAGE
"UNKETY BROOK, INC.",REAL ESTATE DEVELOPMENT
"DANI WHITESTONE, LLC",CONSULTING AND SPEAKING
"UNLEASHED FITNESS, LLC",THE GENERAL CHARACTER OF THE BUSINESS IS TO OFFER FITNESS AND STRENGTH TRAIN
"UNLEASHED, LLC",OFFERING WEBSITES
"UNLEASHED--DOGGIE DAY CARE, LLC",DOGGIE DAYCARE
"UNLEASHING POTENTIAL, INC.",PROFESSIONAL DEVELOPMENT TRAINING
UNLIEU CORP.,INTERNET TECHNOLOGY DEVELOPMENT
"UNLIMITED AUTO BODY, INC.",AUTO BODY SHOP
UNLIMITED AUTO SALE LLC,USED AUTO SALE AND SALVAGE INSPECTION
"UNLIMITED AUTO SERVICES, INC.",VEHICLE REPAIR
"UNLIMITED BAG AND SUPPLY COMPANY, INC.",SALES
"UNLIMITED BEAUTY, LLC",THE SALE OF BEAUTY PRODUCTS AND ALL OTHER ASSOCIATED ACTIVITIES.
UNLIMITED BEHAVIORAL HEALTH SERVICES,UNLIMITED BEHAVIORAL HEALTH SERVICES
"UNLIMITED BUILDERS INC.,",GENERAL CONSTRUCTION
"UNLIMITED BUSINESS RESOURCES, INC.",ACCOUNTING SW INSTALLATION AND OUTSIDE CONTRACTORS
"UNLIMITED COMMUNICATIONS,AND ELECTRICAL",VOICE DATA INTERNET CABELING
UNLIMITED CONSTRUCTION SERVICES INC,CONSTRUCTION SERVICES
"UNLIMITED DELIGHT, LLC",ECOMMERCE
"UNLIMITED DEMOLITION, INC.",BUILDING DEMOLITION
"UNLIMITED DESIGN INTERNATIONAL, INC.",ENGINEER CONSULTING
"UNLIMITED ELECTRICAL SERVICES, INC.",ELECTRICAL CONTRACTOR
"UNLIMITED ENTERPRISE, INC.",LIQUOR STORE
"UNLIMITED EXPRESSIONS, INC.",HAIR SALON
"UNLIMITED FUEL HEATING, INC.",HVAC AND PLUMBING
"INFINITE POSSIBILITIES, INC.","REIKI, ENERGETIC EVALUATION, ENERGY HEALING"
UNLIMITED HOMES & RESTORATION INC.,HOME RESTORATION AND CONSTRUCTION
"UNLIMITED SOLUTIONS, LLC",EMPLOYMENT AGENCY FOR IT PROFESSIONALS
UNLIMITED LANDSCAPE & SITE LLC,LANDSCAPING AND SITE CONTRACTING.
UNLIMITED LANDSCAPE SERVICES INC,LANDSCAPING AND SNOW REMOVAL
UNLIMITED MA INCORPORATED,FURNITURE RETAIL AND WHOLESALE
"UNLIMITED MANUFACTURING SERVICE, INC.","LIGHT ASSEMBLY, PACKAGING AND SHIPPING"
UNLIMITED NONPROFIT EXECUTIVE SERVICES,CONSULTING SERVICES TO NON PROFIT EXECUTIVES AND BOARDS OF DIRECTORS FOR P
"UNLIMITED OPPORTUNITIES OF NEW ENGLAND, INC.",EMPLOYMENT SERVICES
"UNLIMITED PCS, INC.",WIRELESS SALES
"UNLIMITED PEO SOLUTION, INC.",PRESIDENT OR EQUIVALENT
UNLIMITED PLIABILITY LLC,"DESIGN OF EXPERIENCES TO AUGMENT JOY AND WONDER, AND ANY OTHER LAWFUL BU"
"UNLIMITED POTENTIAL PROPERTIES, LLC",OWN HOLD MANAGE REAL ESTATE
"UNLIMITED POWER WASHING, INC.",POWER WASHING
UNLIMITED POWERWASHING LLC,MOBILE POWER WASHING SERVICES
UNLIMITED PRINTING PLUS CO.,PRINTING MARKETING MATERIALS AND SHIRTS
UNLIMITED PROMOTIONS INC.,PROMOTIONAL PRODUCTS
UNLIMITED PROPERTIES LLC,REHABBING OLD HOMES
"UNLIMITED PROPERTY SOLUTIONS, LLC","UNLIMITED PROPERTY SOLUTIONS, LLC SPECIALIZES IN PROPERTY RENOVATION AND MA"
UNLIMITED REMOVAL AND DEMOLITION INC.,GENERAL BUILDING DEMOLITION AND DEBRIS DISPOSAL
"UNLIMITED RESULTS, INC.","DETAILING, RECONDITIONING, AND CLEANING VEHICLES"
"UNLIMITED SUCCESS SERVICES, LLC","THE GENERAL CHARACTER OF UNLIMITED SUCCESS SERVICES, LLC IS TO EXERCISE ALL P"
"UNLIMITED SUCCESS, INC.",MEDICAL PLACEMENT AGENCY
"UNLIMITED TECHNICAL COATINGS, LLC",POWDER COATING/SILKSCREENING
"UNLIMITED TECHNOLOGY, INC.",SECURITY - INSTALL & SERVICE
"UNLIMITED TRADING, INC.",INTERNATIONAL TRADE OF CONSUMER GOODS
UNLLUSTRATED LLC,"WE ARE A POSTER PRINTING COMPANY, EVENTUALLY TO SEE TO THE GENERAL PUBLIC,"
"UP EDUCATION NETWORK, INC.",UP EDUCATION NETWORK
"UPG, INC.",DORMANT CORPORATION AT PRESENT
"UNLUCKY TABBY, LLC",LAND PRESERVATION
"UNMANNED AERIAL SYSTEMS DEVELOPMENT, INC.",TECHNICAL SERVICES AND PRODUCTION
UNMUU LLC,UNMUU OPERATES AS AN ONLINE RETAIL FIRM WITH THE PURPOSED OF BUYING AND DIS
UNNATI CORPORATION,DRYCLEANING
"UNO COMMUNICATIONS, INC.","UNO COMMUNICATIONS, INC."
"UNO DEVELOPMENT, INC.",RESEARCH
"UNO DOS FITNESS, LLC",HEALTH CLUB
"UNO ENTERPRISES, INC.","UNO RESTAURANTS, LLC"
UNO FOODS INC.,RESTAURANT
"UNO OF AMERICA, INC.",RESTAURANT
"UNO OF HAVERHILL, INC.",RESTAURANT
"UNO OF MASSACHUSETTS, INC.",RESTAURANT
UNO PROJECTS & CONSULTING INC.,SOFTWARE CONSULTING
"UNO RATE WIRELESS INC.,",SALE OF WIRELESS PHONES AND RELATED DEVICES
"UNO REMITTANCE OF MASSACHUSETTS, INC.",MONEY TRANSNFER
UNO RESTAURANT HOLDINGS CORPORATION,RESTAURANT
"UNO RESTAURANT OF WOBURN, INC.",RESTAURANT
"UNO RESTAURANTS, LLC",RESTAURANT
UNOBTUSE LLC,NEW MEDIA PRODUCTION
UNOCAL CORPORATION,NAMEHOLDER
"UNOVA INDUSTRIAL AUTOMATION SYSTEMS, INC.",DESIGN AND INTEGRATION OF MANUFACTURING SYSTEMS
UNOW RECORDS LLC,SALES OF DVD'S AND CD'S OF UNITED NIGHT OF WORSHIP.
"UNOX, INC.",SALES AND DISTRIBUTION OF COMMERCIAL OVENS
UNOZERO LLC,"SOCCER SHOES, SOCCER CLEATS, SOCCER SOCKS, OTHER SOCCER ACCESSORIES"
UNPACKED LIVING INC.,RETAIL
UNPLUG & BE MINDFUL YOGA LLC.,YOGA INSTRUCTION (RENTING STUDIO SPACE AT 696 PLAIN STREET SUITE #5 IN MARSHFI
UNPLUGGED FLOAT CENTER LLC,UNPLUGGED FLOAT CENTER IS ALREADY A LIMITED LIABILITY COMPANY SPECIALIZING I
UNQORK INC.,TECHNOLOGY AND SOFTWARE AS A SERVICE COMPANY
UNQUITY PODIATRY LLC,I AM A PODIATRIST. PATIENT CARE WILL BE PROVIDED TO PATIENTS ELSEWHERE (HOSPIT
"UNREAL BRANDS, INC.",DEVELOPS AND SELLS LOW FAT/HI FIBER CANDY BARS
"UNREAL ESTATE, INC.",WHOLESALE AUTO PARTS
UNREEL LLC,TO ENGAGE IN (A) THE LICENSING OF COMPUTER SOFTWARE FOR COMPUTER GRAPHIC A
UNRENDERED FILMS INC,VIDEOGRAPHY AND RELATED SERVICES
UNRIVALED LLC,ONLINE ECOMMERCE BUSINESS.
UNRIVALED MEDIA GROUP LLC,INTERNET
"UNRULY STUDIOS, INC.",DESIGNS AND SELLS EDUCATIONAL TOYS
"UNRULY, LLC","TO OWN AND AUTHOR PUBLISHED WORKS AND TO PERFORM SPEAKING ENGAGEMENTS,"
UNSANCTIONED LLC,"DESIGN, CREATION & SALE OF JEWELRY & ACCESSORIES."
UNSEARCHED INCORPORATED,ONLINE PROFESSIONAL RECRUITING
UNSIGNEDARTISTS.COM INC.,DIGITAL MUSIC DISTRIBUTION
UNSTACK INC.,MANAGEMENT AND TECHNOLOGY CONSULTING
"UNSTRUT NAUTICAL, LLC",MARINE PILOTAGE
UNSUB BREWING LLC,"BREWING BEER FROM GRAIN,HOPS, AND WATER"
"UNTAME, LLC","TO ENGAGE IN EVENT PRODUCTION AND PROMOTION, THE WHOLESALE AND RETAIL SAL"
UNTAMED SALON AND SPA LLC,HAIR SALON AND SPA
"UNTANGLE HOLDINGS, INC.",NETWORK SECURITY SOFTWARE AND APPLIANCES
"UNTAP POTENTIAL, LLC",CONSULTING
"UNTAPPED INVESTMENT, INC.",INVESTMENT
UNTERNEHMENSGRUPPE THEO MULLER GMBH & CO. KG,CONSULTING SERVICES
UNTHA SHREDDING TECHNOLOGY AMERICA INC.,SALE & SERVICE OF INDUSTRIAL SHREDDING EQUIPMENT
"UNTO THE BREACH, LLC",THIS LLC IS ORGANIZED TO RENDER PROFESSIONAL VIDEO EDITING SERVICES
"UNTOLD BREWING, LLC","THE PRODUCTION, MARKETING, AND SALE OF CRAFT BEER."
"UNTRAVEL MEDIA, INC.",SOFTWARE
UNUM GROUP,HOLDING COMPANY
UNUM THERAPEUTICS INC.,CANCER IMMUNOTHERAPIES RESEARCH AND COMMERCE
UNUSUAL SUSPECTS LLC,"THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ACQUIRE, DEVELOP, OWN,"
"UNUTILITY ELECTRIC CETACEA, LLC",THE LLC WILL ENGAGE IN THE BUSINESS (WHICH BUSINESS THE LLC MAY CONDUCT ON I
"UNUTILITY ELECTRIC MMXA, LLC",OWN AND OPERATE RENEWABLE ENERGY FACILITIES.
"UNUTILITY ELECTRIC MMXB, LLC",OWN AND OPERATE RENEWABLE ENERGY FACILITIES.
"UNUTILITY ELECTRIC MMXC, LLC","THE COMPANY WILL ENGAGE IN THE BUSINESS OF OWNING, OPERATING AND MANAGING"
"UNUTILITY ELECTRIC MMXI, LLC","THE COMPANY WILL ENGAGE IN THE BUSINESS OF OWNING, OPERATING AND MANAGING"
"UNUTILITY ELECTRIC, LLC",RENEWABLE ENERGY FACILITY
"UNVANQUISHED CRUSADE, LLC",DEVELOPER
"UNVEILED SEAFOOD, INC.",FULL SERVICE RESTAURANT
"UNVEILED, LLC",MARKETING FOR SMALL BUSINESSES.
"UNWAVERING MANAGEMENT, LLC","INVEST, PROTECT, AND MAINTAIN ASSETS FOR THE MEMBERS THROUGH ANY AND ALL LE"
"UNWIN OVERHEAD DOORS,INC.",INSTALLATION/REPAIR/ MAINTENANCE OF OVERHEAD DOORS
UNWIND INC.,ECOMMERCE
UNWINED A WINE BISTRO LLC,RESTAURANT
"UNWIRE AUDIO VIDEO, LLC","AUDIO VIDEO SYSTEM CONSULTATION, DESIGN, INSTALLATION AND SALES AND ANY"
UOFRANCHISESYSTEMS LLC,SELLING AND SUPPORTING THE ULTIMATE OBSTACLES FRANCHISE SYSTEMS.
UONE CORPORATION,FINANCIAL INVESTMENT
UOP INC.,NAMEHOLDER
"UP 26 LANDSDOWNE, LLC",REAL ESTATE
"UP 35 LANDSDOWNE, LLC",REAL ESTATE
"UP 45/75 SIDNEY STREET, LLC",REAL ESTATE
"UP 64 SIDNEY STREET, LLC",REAL ESTATE
"UP 65/80 LANDSDOWNE, LLC",REAL ESTATE
UP A TREE LLC,TREE SERVICES
"UP AND RUNNING, INC.",BUSINESS CONSULTING AND SERVICES
UP AND SOCIAL LLC,ONLINE MARKETING FOR SMALL TO MIDSIZE BUSINESSES.
"UP BEAUTY SUPPLY, INC.",BEAUTY SUPPLY
UP EAST SALES LLC,THE COMPANY'S PURPOSE AND BUSINESS IS TO PROVIDE SERVICES AS A MANUFACTURE
UP EDUCATION CONSULTING GROUP LLC,EDUCATIONAL CONSULTING SERVICES AND CROSS-BORDER COORDINATION OF SECOND
CREDIT UP INCORPORATED,GENERAL FINANCIAL CONSULTING
UP FROM THE GROUND INC.,TRUCKING
UPFRONT GUITARS AND MUSIC LLC,RETAIL AND INTERNET SALES OF MUSICAL EQUIPMENT AND ACCESSORIES
"UP FRONT, LLC","TO OWN AND OPERATE A RETAIL STORE, TO ENGAGE IN ANY ACTIVITIES DIRECTLY OR IN"
UP HOMES LLC,CONSTRUCTION
"UP IN SMOKE HOLDINGS, LLC","TO MAKE, HOLD, AND MANAGE INVESTMENT, ENGAGE IN OTHER ACTIVITIES LAWFULLY P"
"UP IN SMOKE, INC.",CIGAR LOUNGE
"ASCENSUS COLLEGE SAVINGS, INC.",HOLDING CORPORATION
"UP ISLAND HOLDINGS, LLC","TO ACQUIRE, OWN, MANAGE, LEASE AND DEVELOP RESIDENTIAL REAL PROPERTY OR AN"
"UP MAINE, LLC",REAL ESTATE INVESTMENT
"UP MARKETING, INC.",MARKETING SERVICES
UP PHOTOGRAPHY LLC,INEXPENSIVE AERIAL PHOTOGRAPHY FOR REAL ESTATE COMPANIES.
"UP PROFESSIONAL SOLUTIONS, L.L.C.",PROFESSIONAL CONTRACT AND DIRECT PLACEMENT CONSULTING FIRM
UP RESEARCH INC,MANUFACTURING
"UP RISING CONSTRUCTION, INC.",CONSTRUCTION
"UP STREET DESIGNS, INC.",MAKING GREETING CARDS AND MIRRORS
"UP THE CREEK, LLC",REAL ESTATE HOLDING COMPANY
"UP TO DATE PAINT, LLC",HOME IMPROVEMENT SERVICES
UP UP AND PLAY ACADEMY LLC,"TO OPERATE A CHILD CARE CENTER, AND TO ENGAGE IN ANY OTHER LAWFUL BUSINESS"
UP WALLS INCORPORATED,"ART BASED EVENTS, SUCH AS GRAFFITI FESTIVAL."
"UP WITH COMMUNITIES, LLC",INTERNET COMMUNITY BUILDING SERVICES
"UP WITH DOWNTOWN, INC.",REAL ESTATE LESSORS
"UP YOUR VOTE, INC.",SOFTWARE DEVELOPMENT
"UTILITY PARTNERS, LLC",OPERATION AND MAINTENANCE SERVICES FOR WATER AND WASTEWATER TREATMENT S
"UP-N-RUNNING, INC.",COMPUTER REPAIR
"UP-TOWN COACH, INC.",TRANSPORTATION
"UP2VENTURES, INC.",SALES & MARKETING FOR THE TRADE SHOW INDUSTRY
UPADESH LLC,SOFTWARE SYSTEMS DEVELOPER AND CONSULTANCY FOR ONLINE LEARNING AND TRAI
"UPAMA, INC.",RETAIL CONVENIENCE STORE BUSINESS
UPASANA INC.,GAS STATION WITH CONVENIENCE STORE
"UPBEAT CONVENIENCE, LLC","VARIETY STORE, MUSIC PRODUCTION, ENTERTAINMENT"
UPBEAT CYCLING LLC,HEALTH AND FITNESS SERVICES.
UPBUP INC.,CHILDCARE ENROLLMENT SOLUTIONS
"UPC HOWES CAVE, LLC","THE GENERAL CHARACTER OF THE BUSINESS IS TO ACQUIRE, USE OR DISPOSE OF REAL ES"
"UPC NORTH, LLC",MANUFACTURER
"UPC NY, LLC",LASER SYSTEMS SERVICE PROVIDER
"UPC SOLAR RE, LLC",RENEWABLE ENERGY
"FIRST WIND ENERGY, LLC",WIND DEVELOPMENT
UPCHOGLU INC.,PIZZERIA
"UPCHURCH MANAGEMENT, INC.",GARAGE DOOR COMPANY
"UPCON, INC.",OUTSOURCE COMPUTER SUPPORT
"UPCURVE, INC.",MARKETING SERVICES
UPCYCLE PROPERTIES LLC,THE GENERAL CHARACTER OF THE BUSINESS SHALL BE TO OWN (DIRECTLY OR THROUGH
"UPD, LLC",TO ENGAGE IN INVESTMENTS OF ALL TYPES AND IS SUBJECT TO RESTRICTIONS OF IRC SE
UPDATE ROOFING CONTRACTING CORPORATION,ROOFING
UPDATE CARPENTRY INC,FINISH CARPENTRY
"UPDATE CONTRACTING, INC.",CONTRACTOR
"UPDATE, INC.",TEMPORARY EMPLOYMENT PLACEMENT AGENCY
"UPDATELOGIC, INC.",ENGINEER AUTOMATIC SOFTWARE DELIVERY SYSTEMS
"UPDOWN CORP., THE",SOCIAL NETWORKING FOR YOUNG INVESTORS
UPENDO ROYAL RIDE INC.,A LIVERY MEDICAL TRANSPORTATION COMPANY.
"UPFRONT HOME IMPROVEMENT, INC.",HOME IMPROVEMENT SERVICES
SITEL OPERATING CORPORATION,CALL CENTER
UPGRADE JOURNEY LLC,ONLINE RETAIL OF TOURIST PACKAGES
UPGRADE YOUR CLEANERS LLC,COMMERCIAL AND RESIDENTIAL SERVICES LAWN CARE AND TRASH REMOVAL WINDOW
"UPGRADE, INC.",FINANCIAL TECHNOLOGY
UPGRADES BUILDING & REMODELING LLC,RESIDENTIAL REMODELING.INTERIOR WOOD REFINISHING
"TOP CUTS, INC.",HAIR SALON
"CAMBRIDGE COMPUTER SERVICES, INC.",INFORMATION TECHNOLOGY SALES & SERVICES
"UPMOTR, INC.",SOFTWARE TO SERVE AUTOMOTIVE SALESPEOPLE
UPHAM CAPITAL CORP.,HOLDING COMPANY
"UPHAM LAWN AND LANDSCAPE CO., INC.",LANDSCAPE SERVICES
"UPHAM'S CORNER BEAUTY SUPPLIES AND RECORDS, INC.",HAIR SUPPLY
"UPHAMS CHIROPRACTIC, P.C.",CHIROPRACTOR
UPHAMS CORNER GP LLC,THE GENERAL CHARACTER OF THE BUSINESS OF THE COMPANY IS TO SERVE AS MANAGI
UPHAMS CORNER LIMITED PARTNERSHIP,"THE BUSINESS OF THE PARTNERSHIP AND ITS PURPOSES ARE TO ACQUIRE, FINANCE, IMPR"
UPHAMS CORNER MARKET RESIDENTIAL LIMITED,TO OWN AND OPERATE A LOW INCOME HOUSING AND ASSISTED LIVING FACILITY AT THE
"UPHERDER, INC.",MIT
"UPHILL FARM, LLC","TO BOARD HORSES, RUN HORSE EVENTS AND TO ENGAGE IN ANY LAWFUL ACT OR ACTIV"
UPHILL LLC,"THE COMPANY IS ORGANIZED TO (A) DEVELOP, IMPROVE, MAINTAIN, OWN, OPERATE, LEA"
"UPHILL VENTURES, LLC",REAL ESTATE HOLDING
UPHOLD HQ INC.,PAYMENTS AND TECHNOLOGY SERVICES
UPHOLSTERY BY MICHAEL INC.,UPHOLSTERY
"UPHOLSTERY ON BROADWAY, INC",UPHOLSTERY SALES AND SERVICE
UPINPOINT LLC,SOFTWARE DEVELOPMENT
"UPINTO2, INC.",USED MOTORCYCLE SALES
UPIQ PROPERTIES LLC,PROPERTY HOLDINGS OR OTHER PROPERTY RELATED ADMIN SERVICES
"UPJUMP, LLC","UPJUMP, LLC PRODUCES SOFTWARE PRODUCTS AND SERVICES TARGETING BUSINESS AND"
"UPL GLOBAL, LLC",FULFILLMENT AND MAIL FORWARDING SERVICES AND ALL OTHER LAWFUL BUSINESS
UPLAND ADVISORY LLC,THE COMPANY PROVIDES EDUCATIONAL AND LEARNING RESOURCES RELATING TO FORE
"UPLAND ARCHITECTS, INC.",UPLAND
"UPLAND BUZZARDS, INC.","SALE OF FOOD AND BEVERAGES, INCLUDING ALCOHOL"
UPLAND CAPITAL CORPORATION,INVESTMENTS
"UPLAND DEVELOPMENT, LLC",REAL ESTATE DEVELOPMENT
UPLAND LIMITED LIABILITY COMPANY,"THE GENERAL CHARACTER OF THE LIMITED LIABILITY COMPANY IS TO ACQUIRE, OWN, L"
UPLAND LIMITED PARTNERSHIP,INVESTMENT PARTNERSHIP
"UPLAND PRODUCTIONS, INC.",VIDEO PRODUCTION
UPLAND PROPERTY CORPORATION,REAL ESTATE INVESTMENT MANAGEMENT
"UPLAND PROPERTY MANAGEMENT, LLC",COMMERCIAL PROPERTY MANAGEMENT
"UPLAND REALTY, LLC",THE GENERAL CHARACTER OF THE BUSINESS IS TO ENGAGE IN THE BUSINESS OF INVEST
UPLAND ROAD CONDOMINIUMS LLC,REAL ESTATE
"UPLAND ROAD, LLC",OWN AND MANAGE REAL ESTATE
"UPLAND SOFTWARE I, INC.","SOFTWARE DEVELOPMENT, SALES, & SERVICES"
"UPLAND SOFTWARE, INC.",SOFTWARE SALES AND SERVICE
